"Run","Lambda","Iters","Obj","AIC","BIC","alpha[1]","beta[1,1]","beta[1,2]","beta[1,3]","beta[1,4]","beta[1,5]","alpha[2]","beta[2,1]","beta[2,2]","beta[2,3]","beta[2,4]","beta[2,5]"
1,0,0,-249.624373375875,-479.24874675175,-419.185071075247,0.385152185488829,-2.74974845590954,-0.30428478136023,-3.10258711802546,3.60364289044167,-0.243800053620378,-7.26083921157449,9.25407721267992,1.62646529902966,-2.51255627533385,-0.515530234401514,-0.132321013084189
1,1.44224957030741,1000,-223.502358341657,-479.161262232847,-419.097586556344,0.400447240896341,-2.66224387099722,-0.299016648823313,-3.04417069048099,3.51716421239852,-0.238657206819517,-7.64065704078763,8.5744491412332,1.71082926942152,-1.78252947896259,-0.585254938197624,-0.13354391517657
1,3.60562392576852,1000,-192.70142695212,-478.89817955964,-418.834503883137,0.598317061508247,-2.41864337777102,-0.178651154848608,-2.95211855042683,3.2194023468236,-0.223746342789095,-8.99878954508531,7.2096111984526,1.63443792317654,-0.0139985277147668,-0.595854908349943,-0.139658008618389
1,7.21124785153704,1000,-158.206033172818,-477.507436957822,-417.443761281319,1.31390075223562,-1.4544913423195,0.0555590751041963,-3.00244514808368,2.44192412206263,-0.179847811281614,-10.9488081457324,4.45914431400008,1.34168655750064,2.38349915268921,-0.106881557123418,-0.167087780990629
1,14.4224957030741,1000,-127.903620542927,-472.784929511598,-424.733988970396,2.74593153175405,0,0.480238307392892,-2.97829994818538,1.03089545497602,-0.0975172268944282,-12.4093720409482,0,0.426228431479367,4.79240730416,1.18100420693536,-0.202398241182922
1,28.8449914061482,1000,-166.115804288301,-450.716831650799,-426.691361380198,-0.0724675733910461,0,0,0,0.389567602265001,-0.0734733145712538,-5.80983643343215,0,0,0,1.98039975796995,-0.157888239011675
1,72.1124785153704,1000,-138.883692740991,-303.04037520939,-279.014904938789,0.924297582656455,0,0,0,-0.00259116904472049,-0.0377269517988838,-1.14115563593955,0,0,0,0.192700869121542,0.00440923047154007
1,144.224957030741,105,-136.335332561623,-281.364404872813,-269.351669737512,0.929753524283068,0,0,0,0,-0.0383350954360336,-0.629060350934493,0,0,0,0,0.0216104936011252
1,360.562392576852,63,-127.030873387098,-280.368252750089,-268.355517614789,0.880808977714665,0,0,0,0,-0.0362113093138207,-0.618902403584759,0,0,0,0,0.0213303977704932
1,721.124785153704,61,-112.44867951789,-277.008583194795,-264.995848059495,0.80502493546902,0,0,0,0,-0.0329353615742998,-0.597852995204736,0,0,0,0,0.0207096163146207
2,0,0,-227.785859462261,-435.571718924522,-375.50804324802,65.3989444663235,30.0392647626565,5.21925276196184,-74.6816652958038,8.90821291410191,-0.18932145749082,-9.12027329998935,-1.68693703004808,-1.87020294883801,-2.08820803934276,6.09123010010745,-0.35446267695469
2,1.44224957030741,1000,-54.0758504961933,-435.4801260419,-375.416450365398,64.8793446474791,29.7859889203621,5.23123741365628,-73.9077466140985,8.7020639984029,-0.181712187356013,-9.05349309666664,-1.8275032588324,-1.86991462646803,-2.17322655476895,6.17990091334777,-0.358316227040409
2,3.60562392576852,1000,196.918770242175,-435.002073188855,-374.938397512353,63.5151935592205,29.2234530617166,5.26247177706538,-71.9869412983785,8.19454630092721,-0.164850102239068,-8.87238828140046,-2.17830303796947,-1.87325857716216,-2.37120719707472,6.39022911926123,-0.367130334345674
2,7.21124785153704,1000,584.108385588806,-433.163512674106,-373.099836997604,60.7675052843614,28.0779166265104,5.36068626124802,-68.1617659168071,7.19632247055094,-0.13441232066213,-8.53582889508462,-2.75556135867315,-1.92998759443356,-2.754123998327,6.78097486286753,-0.381734096913715
2,14.4224957030741,1000,1250.1440981636,-423.877286390887,-363.813610714384,55.4174007086523,25.4251706821709,5.78335298040462,-60.5897910399676,5.26715957865956,-0.0854392122207923,-7.99422535078026,-3.4021920721107,-2.21726048153288,-3.49151172312487,7.44925341297211,-0.400298027356736
2,28.8449914061482,1000,2161.15970093858,-367.354443013485,-307.290767336983,45.4907504195361,18.1428652090458,7.55692138725823,-45.7279660003754,1.79252462270301,-0.037269451501312,-7.30738068402098,-3.09658195092642,-3.32599779927909,-4.85052704621871,8.39835073067955,-0.402195749206895
2,72.1124785153704,1000,2362.43745977481,-191.223161489801,-143.172220948599,18.4163918800129,0,10.3830856109885,-10.4489472359782,-3.96029297308957,-0.0769864604998713,-4.70313193126716,0,-5.2454672965725,-7.4082307868242,8.56071110108494,-0.314042234580849
2,144.224957030741,787,-137.66630118723,-283.796697227789,-271.783962092488,0.854723001609637,0,0,0,0,-0.0352646185813401,-0.726640504159874,0,0,0,0,0.0249712420058425
2,360.562392576852,57,-128.512583023203,-282.897321303444,-270.884586168143,0.813612994782995,0,0,0,0,-0.0334628478002997,-0.708412687918817,0,0,0,0,0.0244175758307913
2,721.124785153704,56,-114.096847768055,-279.820736231971,-267.808001096671,0.749379186625707,0,0,0,0,-0.0306619474293396,-0.675642883952325,0,0,0,0,0.0233979013488786
3,0,0,-237.498218781767,-454.996437563534,-394.932761887031,-1.33979220456006,-1.11245500994662,-1.49872579317622,-1.23511888899958,2.74575297942324,-0.155509644862855,-7.37438188308703,-2.58798857245947,-2.52689635552717,-6.84778233547372,9.22270037942914,-0.496096402844258
3,1.44224957030741,1000,-206.015017110205,-454.844941753288,-394.781266076786,-1.27905223881313,-1.11247536154032,-1.36861808731038,-1.27631030944932,2.70497374541746,-0.159152507144409,-7.70026865091979,-1.74758307802261,-2.67450003602257,-6.71345806373391,8.96072350231855,-0.481309946146014
3,3.60562392576852,1000,-166.387636382961,-454.000654376647,-393.936978700144,-1.4212672433455,-0.682431785867376,-1.40470213550704,-1.26320941124226,2.59339588597502,-0.155843911479831,-7.96816539156979,-0.292032638147715,-2.67934981444152,-6.5140295207434,8.30862474416093,-0.450997002840611
3,7.21124785153704,1000,-120.486758527332,-455.819364052699,-407.768423511497,-1.75580647221032,0,-1.621498407709,-1.13956166956575,2.44324218257155,-0.144884309778794,-7.12802526455254,0,-1.64480660804088,-5.77955390884251,6.95760915682562,-0.406254854799255
3,14.4224957030741,1000,-100.363551870715,-451.481134153984,-403.430193612782,-1.37752485471335,0,-0.962597243902143,-1.24429497578069,2.13269651335787,-0.155229390954213,-6.9962069570324,0,0.0152991730775583,-2.84438915019553,4.32784748378379,-0.320025429761327
3,28.8449914061482,1000,-147.083121604972,-451.664551146597,-427.639080875996,-0.54416363675277,0,0,0,0.559252703423941,-0.0874868910098554,-7.33049829182703,0,0,0,2.57806025570432,-0.213501684900218
3,72.1124785153704,1000,-136.569383985598,-297.424630571703,-273.399160301102,0.82032403681087,0,0,0,-0.0173294124970461,-0.0310951053229305,-1.27096260375012,0,0,0,0.190502345290936,0.00968594823555395
3,144.224957030741,102,-134.89852854132,-278.122323406468,-266.109588271168,0.793342520950592,0,0,0,0,-0.0332450196023618,-0.767916042771616,0,0,0,0,0.0268433001077879
3,360.562392576852,51,-125.840517761029,-277.260297868345,-265.247562733045,0.757611031626546,0,0,0,0,-0.0316425668005908,-0.744513266407675,0,0,0,0,0.0261006353238455
3,721.124785153704,50,-111.552636254976,-274.283181845558,-262.270446710257,0.701157539360518,0,0,0,0,-0.0291268564675866,-0.704324004158394,0,0,0,0,0.024805605278765
4,0,0,-250.546267147324,-481.092534294648,-421.028858618146,-0.245730062245469,-0.012768176869383,-0.396146636638293,-1.80246159314727,1.85580905416427,-0.152593747593686,-6.79399376216668,-5.06902242741666,-2.87234160315802,-7.36794434896016,10.5750727442566,-0.547920255482766
4,1.44224957030741,1000,-213.336875077589,-480.931163725933,-420.867488049431,-0.220950285768996,-0.255043269748821,-0.193643650761339,-1.71104870274049,1.8166736770245,-0.158889195120628,-7.1950946235851,-4.11685881422737,-3.10052107931091,-7.25700148714667,10.3420928216685,-0.53267610952298
4,3.60562392576852,1000,-166.348181785384,-479.899732937704,-419.836057261201,-0.366195978234316,-0.569507854348928,0.0815788383834654,-1.41160404101257,1.71585978541536,-0.167246135109725,-8.01451954626282,-1.85131351823813,-3.56643895757851,-7.09908311324471,9.77029186557685,-0.496890292166209
4,7.21124785153704,1000,-109.625006317751,-482.230375425623,-434.179434884421,-1.54433722637313,0,-0.31652612749748,-0.631777651467034,1.59208511564385,-0.160172808321974,-7.64370485128382,0,-3.1564025444906,-6.95633802476791,8.56622516013141,-0.445371026543482
4,14.4224957030741,1000,-52.6630416826989,-476.820582629384,-428.769642088182,-3.01968928935342,0,-0.572422761198774,0.344478517133191,1.65742859574585,-0.173891770279654,-5.14238541650453,0,-0.740075068809731,-5.9137810289901,5.94349265359222,-0.364656890067654
4,28.8449914061482,1000,-155.133320836792,-475.401214125133,-451.375743854532,-1.47177352371578,0,0,0,1.0250962634925,-0.139942799445655,-7.14166242953297,0,0,0,2.54680455874887,-0.214070307495426
4,72.1124785153704,1000,-133.752964234945,-332.704951168138,-308.679480897537,0.73962175970061,0,0,0,0.0869806007967043,-0.0475353858157812,-1.73922780727617,0,0,0,0.44715786717779,-0.0210673490420648
4,144.224957030741,156,-135.494792644837,-279.736000370968,-267.723265235668,0.971793151874633,0,0,0,0,-0.0397721834142591,-0.564459143207176,0,0,0,0,0.0192580462888455
4,360.562392576852,65,-126.159246336936,-278.702079385144,-266.689344249843,0.919611821501742,0,0,0,0,-0.0375331763862394,-0.559233583005199,0,0,0,0,0.0191442243000303
4,721.124785153704,63,-111.558403301867,-275.233055242332,-263.220320107032,0.838782788584738,0,0,0,0,-0.0340766915212298,-0.545695302752955,0,0,0,0,0.0187796813699882
5,0,0,-243.775372593531,-467.550745187062,-407.48706951056,-1.71641577075767,-3.1920366070081,-1.7465471762464,-2.52625622995215,4.84608808191439,-0.281983313667884,-4.9251299795755,2.63595059519984,2.30345351766619,-3.06625553231056,1.56962023219108,-0.23790591686477
5,1.44224957030741,1000,-221.400742032265,-467.390031868736,-407.326356192234,-1.93352729960264,-2.71637436544394,-1.95523519604737,-2.44916954112614,4.75831301415726,-0.271832962162451,-4.9755673793066,2.06216487894381,2.50890371162035,-2.55612422545887,1.42230050230511,-0.236482225891422
5,3.60562392576852,1000,-195.308220316762,-465.711523391971,-405.647847715469,-2.3555146057465,-1.63354359619948,-2.37050794087776,-2.23028013227154,4.47525150840059,-0.245142413264442,-5.26648396677481,0.85537221389399,2.92197821299287,-1.38648959232522,1.12531962678942,-0.235316643336959
5,7.21124785153704,1000,-170.688940961121,-465.076466891751,-417.025526350549,-2.51283878106453,0,-2.59873283255604,-1.75891047355539,3.5951556083544,-0.187763227628781,-6.63901822908608,0,2.88739784559822,0.249129293563018,0.967408579168628,-0.236544088211828
5,14.4224957030741,1000,-155.029817113938,-467.668549547371,-419.617609006169,-0.349751541119805,0,-0.685284688294417,-1.27724621219992,1.64042185046253,-0.125702553515688,-9.05590702670479,0,1.21795246318958,1.41440523596385,1.81108763658079,-0.241049814336722
5,28.8449914061482,1000,-163.093970152056,-452.14675887781,-428.121288607209,-0.32521562543039,0,0,0,0.528657560341334,-0.0904065826248968,-5.9740672969484,0,0,0,2.06498448033205,-0.167641093939184
5,72.1124785153704,1000,-146.902481616443,-300.614053768835,-276.588583498234,0.994787164390985,0,0,0,-0.000278171758281118,-0.041069814170184,-0.79021432993444,0,0,0,0.0584563920617307,0.0164007148267038
5,144.224957030741,70,-144.151375019031,-297.536542941054,-285.523807805753,0.985449340022669,0,0,0,0,-0.040606103647092,-0.624322560547811,0,0,0,0,0.021354783154585
5,360.562392576852,65,-134.450832734536,-296.499720461879,-284.486985326579,0.934022243755349,0,0,0,0,-0.0383760987816876,-0.616259857250597,0,0,0,0,0.02114873456779
5,721.124785153704,64,-119.245274077512,-293.011809699375,-280.999074564075,0.854350010718374,0,0,0,0,-0.0349342383081797,-0.598347147200205,0,0,0,0,0.0206407684487518
6,0,0,-221.83038695923,-423.660773918461,-363.597098241958,-1.66739454659212,-1.506749583473,-0.336842265621425,0.00100148092329797,1.83654593074525,-0.162715609523833,-9.55882781556053,3.91252464008502,-5.18997508882756,-6.88759930698194,8.37512771767295,-0.380113724924192
6,1.44224957030741,1000,-188.168233964679,-423.392386036945,-363.328710360443,-2.12311279765021,-1.29047324466637,-0.587336776001535,0.24250139014241,1.86595432097777,-0.159967327800904,-8.62126936161934,2.89978468456125,-4.49665211659902,-6.7991247662902,8.11096403366597,-0.37956093125694
