"Run","subFuncID","AIC","BIC"
1,1,-43.7332806379437,-31.7205455026432
1,2,-46.2427827256302,-34.2300475903297
1,3,-57.9193912637898,-33.8939209931888
1,4,-48.3647400644722,-36.3520049291717
1,5,-61.2641355760511,-37.2386653054501
1,6,-61.0438989713652,-37.0184287007642
1,7,-67.528018186939,-31.4898127810375
1,8,-52.8187255883657,-40.8059904530652
1,9,-64.5730231112123,-40.5475528406113
1,10,-64.2112151896149,-40.1857449190139
1,11,-70.102413726578,-34.0642083206765
1,12,-63.7968746584535,-39.7714043878526
1,13,-69.4411609756494,-33.4029555697479
1,14,-66.1978255109057,-30.1596201050042
1,15,-66.3416272197046,-18.2906866785026
1,16,-56.7531403646495,-44.740405229349
1,17,-67.1383267082338,-43.1128564376328
1,18,-63.9147403004373,-39.8892700298363
1,19,-69.1823529105401,-33.1441475046386
1,20,-64.7935079306815,-40.7680376600805
1,21,-68.9760623142531,-32.9378569083516
1,22,-68.2030927718231,-32.1648873659216
1,23,-65.4035943360153,-17.3526537948133
1,24,-62.9839295943359,-38.9584593237349
1,25,-64.9773653287233,-28.9391599228218
1,26,-60.649619061213,-24.6114136553115
1,27,-66.4029690313393,-18.3520284901373
1,28,-61.2658939810661,-25.2276885751646
1,29,-66.5500584463097,-18.4991179051077
1,30,-64.9702456410477,-16.9193050998457
1,31,-63.0105024915043,-2.94682681500184
2,1,-30.9890704440073,-18.9763353087068
2,2,-41.4027342093841,-29.3899990740836
2,3,-38.6631150469073,-14.6376447763063
2,4,-45.2894036421676,-33.2766685068672
2,5,-52.5125687869736,-28.4870985163726
2,6,-55.5897523715118,-31.5642821009108
2,7,-78.3223778729898,-42.2841724670883
2,8,-53.5563740382192,-41.5436389029187
2,9,-60.9816665827829,-36.9561963121819
2,10,-75.8472230549514,-51.8217527843504
2,11,-73.3066482060335,-37.268442800132
2,12,-69.1773126963578,-45.1518424257568
2,13,-69.1935368983066,-33.1553314924051
2,14,-74.0754094693416,-38.0372040634401
2,15,-77.4104745356305,-29.3595339944285
2,16,-63.7839154106755,-51.771180275375
2,17,-71.6955412095522,-47.6700709389512
2,18,-79.1097455351818,-55.0842752645808
2,19,-76.0537704709008,-40.0155650649994
2,20,-77.5311383280841,-53.5056680574831
2,21,-76.2471154402542,-40.2089100343527
2,22,-77.517871741208,-41.4796663353066
2,23,-79.7892961819306,-31.7383556407287
2,24,-79.6015607322569,-55.5760904616559
2,25,-76.5474331636233,-40.5092277577219
2,26,-77.7096163143933,-41.6714109084918
2,27,-74.5111419039197,-26.4602013627177
2,28,-76.1404367064305,-40.1022313005291
2,29,-72.7515304219562,-24.7005898807542
2,30,-74.8960836087321,-26.8451430675301
2,31,-76.7273087472366,-16.6636330707342
3,1,-39.8371786847214,-27.8244435494209
3,2,-53.7724936673836,-41.7597585320831
3,3,-53.5776188965891,-29.5521486259881
3,4,-51.265834637592,-39.2530995022915
3,5,-58.3198072956786,-34.2943370250776
