"Run","subFuncID","AIC","BIC"
1,1,1.59418949575861,7.61546008395112
1,2,-11.2656454039333,-5.24437481574076
1,3,-10.3251885037851,1.7173526725999
1,4,-3.22074161158631,2.80052897660621
1,5,-16.3791928347222,-4.33665165833722
1,6,-11.0490675556428,0.993473620742272
1,7,-32.2930017181968,-14.2291899536193
1,8,1.46561598959878,7.48688657779129
1,9,5.20905570627879,17.2515968826638
1,10,-7.8473097787855,4.19523139759953
1,11,-19.0372505948355,-0.97343883025794
1,12,-3.35135676153257,8.69118441485245
1,13,-35.8879490965066,-17.8241373319291
1,14,-24.724664154067,-6.66085238948947
1,15,-56.2148178974118,-32.1297355446417
1,16,-19.2384892163367,-13.2172186281442
1,17,-28.7643516969078,-16.7218105205227
1,18,-18.3320989154265,-6.28955773904152
1,19,-33.495852203924,-15.4320404393464
1,20,-32.7567829065944,-20.7142417302094
1,21,-33.5710143876258,-15.5072026230482
1,22,-33.5132548010473,-15.4494430364697
1,23,-33.6938767511949,-9.6087943984249
1,24,-62.3042649020696,-50.2617237256845
1,25,-58.3711688984821,-40.3073571339045
1,26,-58.6047013445369,-40.5408895799594
1,27,-55.335457197992,-31.2503748452219
1,28,-58.4249934950743,-40.3611817304968
1,29,-55.2458139843013,-31.1607316315312
1,30,-55.3074735849235,-31.2223912321534
1,31,-55.6256399873137,-25.5192870463512
2,1,2.32814691244223,8.34941750063474
2,2,-8.47733582697491,-2.4560652387824
2,3,-6.5600484165543,5.48249275983072
2,4,-0.890563271811835,5.13070731638068
2,5,-10.0145181302601,2.02802304612492
2,6,-7.14840365343854,4.89413752294648
2,7,-19.4229719961828,-1.35916023160524
2,8,2.75365893645371,8.77492952464622
2,9,5.23478548504811,17.2773266614331
2,10,-4.94627494256274,7.09626623382229
2,11,-6.33315535022936,11.7306564143482
2,12,0.0506435601147617,12.0931847364998
2,13,-13.529895646864,4.53391611771355
2,14,-8.62657857327159,9.43723319130594
2,15,-27.7521020077102,-3.66701965494013
2,16,-12.8934259136627,-6.87215532547017
2,17,-17.473320067234,-5.43077889084893
2,18,-13.1778397613966,-1.13529858501158
2,19,-21.4747259421685,-3.41091417759095
2,20,-19.2881708703793,-7.24562969399427
2,21,-21.5283314468843,-3.46451968230678
2,22,-21.5323771454827,-3.46856538090518
2,23,-17.5490353041398,6.53604704863019
2,24,-29.5662155622167,-17.5236743858317
2,25,-36.0954722972618,-18.0316605326843
2,26,-33.1652438521625,-15.101432087585
2,27,-32.2637942153077,-8.17871186253769
2,28,-34.2356242786357,-16.1718125140582
2,29,-32.308846300636,-8.223763947866
2,30,-32.2137049648661,-8.12862261209602
2,31,-28.3697377492844,1.73661519167819
3,1,-3.00082887634654,3.02044171184597
3,2,-5.57030164598901,0.450968942203499
3,3,-8.94947581880352,3.0930653575815
3,4,-7.68235328185742,-1.66108269366491
3,5,-11.3883524745123,0.654188701872748
3,6,-9.59362140824595,2.44891976813907
3,7,-14.7160632105347,3.3477485540428
3,8,-3.50845372670302,2.51281686148949
3,9,-0.0206454853043621,12.0218956910807
3,10,-5.02694889490864,7.01559228147638
3,11,-8.35220168012452,9.71161008445301
3,12,-4.39695441771082,7.6455867586742
3,13,-14.2152405886782,3.84857117589931
3,14,-10.4418745131026,7.62193725147497
3,15,-20.1293941924066,3.95568816036343
3,16,-17.4806763957583,-11.4594058075658
3,17,-15.718732836253,-3.676191659868
3,18,-14.5521401150972,-2.50959893871214
3,19,-14.2885127139014,3.77529905067613
3,20,-16.1152750300468,-4.07273385366174
3,21,-13.8445363589203,4.21927540565724
3,22,-14.1877497870656,3.87606197751191
3,23,-12.203729882723,11.881352470047
3,24,-24.7906852468,-12.748144070415
3,25,-22.2075463912156,-4.1437346266381
3,26,-22.5819130929695,-4.51810132839192
3,27,-19.3727583423324,4.71232401043763
3,28,-21.9549659159734,-3.89115415139591
3,29,-18.9870252131003,5.0980571396697
3,30,-19.3179613370531,4.76712101571698
3,31,-17.5829996495642,12.5233532913983
4,1,2.61801705361516,8.63928764180767
4,2,-23.0448824149149,-17.0236118267224
4,3,-27.0914795940661,-15.0489384176811
4,4,3.41536502010154,9.43663560829405
4,5,-32.8152837526387,-20.7727425762537
4,6,-26.1588108084714,-14.1162696320864
4,7,-35.1677374707136,-17.1039257061361
4,8,3.28555313153139,9.3068237197239
4,9,-1.35385051677035,10.6886906596147
4,10,-35.0610043300901,-23.0184631537051
4,11,-31.1076558915537,-13.0438441269761
4,12,7.26424586212611,19.3067870385111
4,13,-41.4298395530842,-23.3660277885067
