"Run","subFuncID","AIC","BIC"
5,22,-771.289869682219,-735.251664276318
5,23,-767.369692087109,-719.318751545908
5,24,-772.724425403063,-748.698955132462
5,25,-771.356105399683,-735.317899993782
5,26,-769.792575505509,-733.754370099608
5,27,-767.401353617247,-719.350413076045
5,28,-771.389174160878,-735.350968754977
5,29,-767.441208408466,-719.390267867264
5,30,-767.411500015379,-719.360559474178
5,31,-763.39391542265,-703.330239746147
6,1,-769.198548489871,-757.185813354571
6,2,-770.665893716561,-758.65315858126
6,3,-770.068136659747,-746.042666389146
6,4,-772.711071042397,-760.698335907096
6,5,-770.564337789961,-746.53886751936
6,6,-772.766327842104,-748.740857571504
6,7,-768.800815706391,-732.762610300489
6,8,-761.599610554117,-749.586875418816
6,9,-770.990501324466,-746.965031053865
6,10,-767.625464924887,-743.599994654286
6,11,-768.902955889557,-732.864750483656
6,12,-769.821695328389,-745.796225057788
6,13,-768.964362355794,-732.926156949892
6,14,-768.801898134031,-732.763692728129
6,15,-764.917932233013,-716.866991691811
6,16,-707.43832084006,-695.42558570476
6,17,-771.669012589059,-747.643542318458
6,18,-767.414532542487,-743.389062271886
6,19,-769.110133417174,-733.071928011273
6,20,-769.287308579324,-745.261838308723
6,21,-769.133484053775,-733.095278647874
6,22,-767.215591517731,-731.17738611183
6,23,-765.133786496494,-717.082845955292
6,24,-765.610024590112,-741.584554319511
6,25,-769.153998127252,-733.11579272135
6,26,-766.452927083556,-730.414721677654
6,27,-765.188589650667,-717.137649109465
6,28,-769.161631240675,-733.123425834773
6,29,-765.207436723196,-717.156496181994
6,30,-765.209579356411,-717.158638815209
6,31,-761.299028192181,-701.235352515679
7,1,-880.476269925953,-868.463534790652
7,2,-881.043717826757,-869.030982691457
7,3,-880.180053092857,-856.154582822256
7,4,-883.049621353177,-871.036886217876
7,5,-880.667055787436,-856.641585516835
7,6,-882.487055105802,-858.461584835201
7,7,-878.638475698721,-842.60027029282
7,8,-869.712128244909,-857.699393109608
7,9,-880.989856071001,-856.9643858004
7,10,-878.097866274144,-854.072396003543
7,11,-878.224403255382,-842.186197849481
7,12,-880.123019555102,-856.097549284501
7,13,-877.923948849699,-841.885743443797
7,14,-878.637727850331,-842.59952244443
7,15,-874.137651724264,-826.086711183062
7,16,-806.492425841695,-794.479690706395
7,17,-881.155366981416,-857.129896710815
7,18,-877.976549116365,-853.951078845764
7,19,-877.594579432139,-841.556374026237
7,20,-879.766510694409,-855.741040423808
7,21,-877.482120436848,-841.443915030947
7,22,-878.675889444284,-842.637684038382
7,23,-877.077632641485,-829.026692100283
7,24,-877.255708104987,-853.230237834386
7,25,-877.426798526075,-841.388593120173
7,26,-874.325523094919,-838.287317689017
7,27,-876.626983326962,-828.57604278576
7,28,-876.917223301444,-840.879017895543
7,29,-875.976490103645,-827.925549562444
7,30,-876.717788000699,-828.666847459497
7,31,-872.586489718926,-812.522814042423
8,1,-825.848027442738,-813.835292307437
8,2,-841.319111088662,-829.306375953361
8,3,-840.136273311231,-816.11080304063
8,4,-839.410605655383,-827.397870520082
8,5,-838.789901027672,-814.764430757071
8,6,-842.521003323566,-818.495533052965
