"Run","Lambda","Iters","Obj","AIC","BIC","alpha[1]","beta[1,1]","beta[1,2]","beta[1,3]","beta[1,4]","beta[1,5]","alpha[2]","beta[2,1]","beta[2,2]","beta[2,3]","beta[2,4]","beta[2,5]"
1,0,0,-57.5696016435185,-95.1392032870371,-35.0755276105346,-16.1803948189921,-6.09075361526367,-0.574959763605797,20.0688168864979,-4.34484197124138,0.247778335056268,-4.46181300840289,-2.06866023362416,-0.146248835936092,4.2616208756713,-0.234080458643378,0.0818063466729768
1,1.44224957030741,1000,-50.8206540113071,-94.7384007300713,-34.6747250535688,-15.9629155574903,-6.09533745263952,-0.581615483139364,19.3651986726025,-3.78466062283527,0.172468452618117,-4.69109363221067,-2.17267096600218,-0.156058348766025,4.38379909055033,-0.0823489593130058,0.0435307532642662
1,3.60562392576852,1000,-42.817983792234,-92.4119219867993,-32.3482463102968,-15.1794681739475,-5.9734109567694,-0.583194717536099,17.6094820312234,-2.69643194312096,0.0472636588654981,-5.11558752168699,-2.35046811737935,-0.172682574242009,4.73007751897461,0.0435157214357643,0.00259683533119404
1,7.21124785153704,1000,-34.4838352144088,-95.8352768220107,-47.7843362808087,-12.8737169868877,-5.17286987004342,-0.498288455486258,14.4672356451956,-1.82397690936738,0,-5.78117134181976,-2.57720833022043,-0.189417596602309,5.55318233728362,-0.109464171189164,0
1,14.4224957030741,1000,-25.1788466024562,-95.8436582968842,-47.7927177556822,-9.00979593138502,-3.67692844188662,-0.322397808050595,9.8058222179226,-1.0293314466875,0,-6.09518091876944,-2.64838424631263,-0.184051594264051,5.97505824249108,-0.215633117767412,0
1,28.8449914061482,1000,-31.8218482583794,-88.145180208054,-40.094239666852,-3.72198959549248,-1.52901513515179,-0.0366543808148257,3.5557453782857,-0.0689016670192474,0,-4.12133771549144,-1.71322846673443,-0.0248133886264968,3.81140306973642,-0.0184162089849435,0
1,72.1124785153704,1000,-30.4716570384727,-85.7581000231674,-49.7198946172659,-0.974227530585186,-0.500170915513606,0,0.718143322581356,0.114900985544666,0,-1.49858453112897,-0.761325092588263,0,1.06811238298997,0.189390914442901,0
1,144.224957030741,623,-19.6424936592756,-62.8375849578968,-38.8121146872958,-0.16191230324542,-0.186410795471372,0,0,0.0747100314931464,0,-0.368761711993682,-0.358066826444385,0,0,0.18863557729115,0
1,360.562392576852,26,-9.85391408824657,-38.0183407272825,-26.005605591982,-0.0429116018606884,-0.0809587400963441,0,0,0,0,-0.107156852161428,-0.181799318794252,0,0,0,0
1,721.124785153704,18,-2.11460249699509,-18.7684510010545,-6.75571586575405,-0.0112795082582475,-0.0201257547171843,0,0,0,0,-0.0477519088791251,-0.0801987654215619,0,0,0,0
2,0,0,-68.3508194589854,-116.701638917971,-56.6379632414683,-3.41540516312213,-1.44515631571152,-0.0808331242153171,3.61468840663099,-0.469354663339292,0.0695087867633258,2.03028678035762,0.129398193648132,0.0776677373046583,-4.55820730274454,2.14979633877355,-0.0416757873731223
2,1.44224957030741,1000,-64.7849370926015,-120.25750875933,-72.2065682181281,-1.89228213465993,-0.938658439908167,-0.0314281309853852,1.39365931366703,0.299824460204642,0,0.611425253881458,-0.292377015913911,0.0462561464008623,-2.43432261833069,1.42065055276601,0
2,3.60562392576852,1000,-63.1290442338823,-123.174458349905,-87.1362529440038,-0.743595471545406,-0.53859673497024,0,-0.0173199762993667,0.564729744285987,0,-0.862643425739552,-0.777382372331274,0,-0.470034983418903,0.95393855765586,0
2,7.21124785153704,412,-59.1702501213069,-125.822930392717,-101.797460122117,-0.700512613404107,-0.508232931980344,0,0,0.513648772002366,0,-1.10897910675512,-0.810315136335418,0,0,0.753045381406619,0
2,14.4224957030741,218,-51.9562882987643,-122.721452928179,-98.6959826575781,-0.575029501802081,-0.429510399774166,0,0,0.412485540066006,0,-0.971871731288859,-0.727315235902493,0,0,0.643220256347911,0
2,28.8449914061482,212,-40.4521902209307,-111.881859400417,-87.8563891298156,-0.357171910946029,-0.294499111990397,0,0,0.23814082959872,0,-0.719854786579508,-0.578336119077961,0,0,0.442425988987987,0
2,72.1124785153704,100,-23.1588114086382,-66.3420843738272,-42.3166141032263,-0.0467770901066421,-0.0925195866148422,0,0,-1.00484631511247e-05,0,-0.163332547306146,-0.26605108149864,0,0,0.000384857291602442,0
2,144.224957030741,19,-11.7053837279651,-55.8724844479032,-43.8597493126027,-0.0202039097707697,-0.0379652184172601,0,0,0,0,-0.111352572428873,-0.179434414290842,0,0,0,0
2,360.562392576852,13,1.55441736869767e-07,3.10883473739535e-07,3.10883473739535e-07,-1.87539429365328e-05,0,0,0,0,0,-2.36086714697546e-05,0,0,0,0,0
2,721.124785153704,1,3.8859793151374e-08,7.7719586302748e-08,7.7719586302748e-08,-1.18042580078352e-05,0,0,0,0,0,-9.37692832338984e-06,0,0,0,0,0
