"Run","subFuncID","AIC","BIC"
1,1,-336.526311236835,-324.513576101534
1,2,-259.456451659045,-247.443716523745
1,3,-427.242450177944,-403.216979907343
1,4,-325.996851982259,-313.984116846959
1,5,-438.992850100208,-414.967379829607
1,6,-417.924727856696,-393.899257586095
1,7,-476.29668613214,-440.258480726239
1,8,-312.043922936735,-300.031187801434
1,9,-451.082343108652,-427.056872838051
1,10,-424.601817795235,-400.576347524634
1,11,-476.326317121603,-440.288111715702
1,12,-465.529729442848,-441.504259172247
1,13,-473.772397140586,-437.734191734684
1,14,-476.058879414287,-440.020674008386
1,15,-478.584748471868,-430.533807930666
1,16,-281.564493533602,-269.551758398301
1,17,-470.037612156718,-446.012141886117
1,18,-406.083891225295,-382.058420954694
1,19,-483.595859140006,-447.557653734105
1,20,-478.278350718237,-454.252880447636
1,21,-484.169037301222,-448.130831895321
1,22,-483.705822424655,-447.667617018753
1,23,-480.332882766148,-432.281942224946
1,24,-481.05933995224,-457.033869681639
1,25,-486.918066432217,-450.879861026316
1,26,-481.403054053707,-445.364848647805
1,27,-483.252678280605,-435.201737739403
1,28,-487.284456214036,-451.246250808135
1,29,-483.288063529449,-435.237122988247
1,30,-483.927993007961,-435.877052466759
1,31,-479.24874675175,-419.185071075247
2,1,-325.877591484254,-313.864856348954
2,2,-321.110113883241,-309.09737874794
2,3,-403.378264808234,-379.352794537633
2,4,-322.439783175421,-310.42704804012
2,5,-417.262160629305,-393.236690358704
2,6,-380.674077011163,-356.648606740562
2,7,-435.219158506371,-399.180953100469
2,8,-313.055622830421,-301.04288769512
2,9,-427.227230791081,-403.20176052048
2,10,-343.586584202354,-319.561113931753
2,11,-437.585764652189,-401.547559246288
2,12,-436.150952620985,-412.125482350384
2,13,-433.440370777149,-397.402165371248
2,14,-438.191909081626,-402.153703675724
2,15,-437.633903839618,-389.582963298416
2,16,-283.975148471438,-271.962413336137
2,17,-438.650414934765,-414.624944664164
2,18,-416.788385296261,-392.76291502566
2,19,-440.213483982797,-404.175278576896
2,20,-443.004518181828,-418.979047911227
2,21,-440.559029386244,-404.520823980343
2,22,-440.355846141223,-404.317640735321
2,23,-437.391220269724,-389.340279728522
2,24,-444.383874486977,-420.358404216376
2,25,-440.572632621923,-404.534427216022
2,26,-440.575506793707,-404.537301387805
2,27,-437.754787793717,-389.703847252516
2,28,-440.581649423963,-404.543444018061
2,29,-437.344111831711,-389.293171290509
2,30,-437.615483346058,-389.564542804856
2,31,-435.571718924522,-375.50804324802
3,1,-341.848696425045,-329.835961289744
3,2,-330.015327691955,-318.002592556654
3,3,-438.598265149743,-414.572794879142
3,4,-331.248729694805,-319.235994559504
3,5,-446.100521654051,-422.07505138345
3,6,-414.849420899458,-390.823950628857
3,7,-456.164203428648,-420.125998022746
3,8,-316.204520240202,-304.191785104901
3,9,-452.212461095926,-428.186990825325
3,10,-436.388727338714,-412.363257068113
3,11,-458.742946777023,-422.704741371121
3,12,-457.628111087825,-433.602640817224
3,13,-458.389339916187,-422.351134510286
3,14,-459.032038661617,-422.993833255715
3,15,-456.709179956637,-408.658239415435
3,16,-278.291615472214,-266.278880336914
3,17,-460.4833551157,-436.457884845099
3,18,-465.184169535604,-441.158699265003
3,19,-461.792946047208,-425.754740641307
3,20,-463.861691227051,-439.83622095645
3,21,-462.376087337835,-426.337881931933
3,22,-461.803014013266,-425.764808607365
3,23,-458.712425075607,-410.661484534405
3,24,-465.822337919393,-441.796867648792
3,25,-462.637562140439,-426.599356734537
3,26,-461.965007453975,-425.926802048074
3,27,-459.024235834484,-410.973295293282
3,28,-462.654877378585,-426.616671972684
3,29,-458.967997868742,-410.91705732754
3,30,-459.003148690276,-410.952208149074
3,31,-454.996437563534,-394.932761887031
4,1,-318.79772719155,-306.784992056249
4,2,-314.844121937553,-302.831386802252
4,3,-447.845132402798,-423.819662132197
4,4,-313.233153683998,-301.220418548697
4,5,-459.201813295677,-435.176343025076
4,6,-411.364256727711,-387.33878645711
4,7,-480.737870973488,-444.699665567586
4,8,-303.380989303777,-291.368254168477
4,9,-467.116805213204,-443.091334942603
4,10,-456.27619807637,-432.250727805769
4,11,-472.82436273627,-436.786157330368
4,12,-471.893339348531,-447.86786907793
4,13,-469.323176425796,-433.284971019895
4,14,-470.734080092498,-434.695874686597
4,15,-474.959867671691,-426.908927130489
4,16,-279.944624237522,-267.931889102222
4,17,-481.205587302089,-457.180117031488
4,18,-489.429712194257,-465.404241923656
4,19,-486.932368285904,-450.894162880002
4,20,-486.479798180418,-462.454327909817
4,21,-487.652273486912,-451.614068081011
4,22,-486.752287273499,-450.714081867598
4,23,-484.151094682453,-436.100154141251
4,24,-490.403498975736,-466.378028705135
4,25,-488.853380094394,-452.815174688493
4,26,-486.481641033679,-450.443435627778
4,27,-485.07808422973,-437.027143688528
