"Run","subFuncID","AIC","BIC"
1,1,-1465.04387391038,-1453.03113877508
1,2,-610.456190268368,-598.443455133068
1,3,-1471.77543490597,-1447.74996463537
1,4,-1469.83950852444,-1457.82677338914
1,5,-1472.25493638856,-1448.22946611796
1,6,-1471.61494348923,-1447.58947321863
1,7,-1469.22577910701,-1433.18757370111
1,8,-1420.8996117547,-1408.8868766194
1,9,-1472.06343902353,-1448.03796875293
1,10,-1452.83821990774,-1428.81274963714
1,11,-1468.98420621319,-1432.94600080729
1,12,-1472.24267426637,-1448.21720399577
1,13,-1468.81077632742,-1432.77257092152
1,14,-1468.93292476602,-1432.89471936012
1,15,-1465.00366650112,-1416.95272595992
1,16,-1236.3485595522,-1224.3358244169
1,17,-1470.61573477587,-1446.59026450527
1,18,-1303.78222533157,-1279.75675506097
1,19,-1468.79466922475,-1432.75646381885
1,20,-1471.13936517829,-1447.11389490769
1,21,-1468.79813849998,-1432.75993309408
1,22,-1468.83930417785,-1432.80109877195
1,23,-1464.9905082798,-1416.9395677386
1,24,-1454.60205675098,-1430.57658648037
1,25,-1468.79507128181,-1432.7568658759
1,26,-1467.31653922437,-1431.27833381847
1,27,-1465.13433135526,-1417.08339081405
1,28,-1468.55638234375,-1432.51817693785
1,29,-1464.86542222088,-1416.81448167968
1,30,-1464.99175632366,-1416.94081578246
1,31,-1463.29273626303,-1403.22906058653
2,1,-1438.50788619034,-1426.49515105504
2,2,-649.910618196823,-637.897883061522
2,3,-1442.8490353373,-1418.8235650667
2,4,-1440.0298796052,-1428.0171444699
2,5,-1443.08535752852,-1419.05988725791
2,6,-1442.70052444923,-1418.67505417863
2,7,-1439.16083825499,-1403.12263284909
2,8,-1390.12110342661,-1378.10836829131
2,9,-1443.22472521045,-1419.19925493985
2,10,-1420.38441924263,-1396.35894897203
2,11,-1439.50218579371,-1403.46398038781
2,12,-1441.55959083661,-1417.53412056601
2,13,-1439.63609402074,-1403.59788861484
2,14,-1439.05520144095,-1403.01699603505
2,15,-1438.02085618716,-1389.96991564596
2,16,-1214.51675417163,-1202.50401903633
2,17,-1443.2745485523,-1419.2490782817
2,18,-1294.85429926228,-1270.82882899168
2,19,-1440.13542910168,-1404.09722369578
2,20,-1439.35727241887,-1415.33180214827
2,21,-1440.06448347117,-1404.02627806527
2,22,-1439.12783241528,-1403.08962700937
2,23,-1437.7537236465,-1389.7027831053
2,24,-1422.19441037904,-1398.16894010844
2,25,-1440.00163348422,-1403.96342807832
2,26,-1435.72849518785,-1399.69028978195
2,27,-1437.55485362492,-1389.50391308372
2,28,-1441.12144715425,-1405.08324174835
2,29,-1437.34747281859,-1389.29653227739
2,30,-1437.38870992502,-1389.33776938382
2,31,-1434.39581599756,-1374.33214032105
3,1,-1483.3341800099,-1471.3214448746
3,2,-577.872522944792,-565.859787809491
3,3,-1487.24487619125,-1463.21940592065
3,4,-1485.16553005949,-1473.15279492419
3,5,-1488.60452774067,-1464.57905747007
3,6,-1489.12481634758,-1465.09934607698
3,7,-1485.46766281946,-1449.42945741356
3,8,-1434.72286154359,-1422.71012640829
3,9,-1489.35129816192,-1465.32582789132
3,10,-1466.43580407701,-1442.41033380641
3,11,-1485.58680764327,-1449.54860223736
3,12,-1486.63215942076,-1462.60668915016
3,13,-1485.6132941748,-1449.57508876889
3,14,-1485.58504090133,-1449.54683549543
3,15,-1481.59243582701,-1433.54149528581
3,16,-1249.7677577732,-1237.7550226379
3,17,-1488.8587399044,-1464.8332696338
3,18,-1334.35003012807,-1310.32455985747
3,19,-1485.07050164085,-1449.03229623495
3,20,-1484.99271716782,-1460.96724689722
3,21,-1485.17515019389,-1449.13694478799
3,22,-1485.42724879504,-1449.38904338914
3,23,-1481.50263452013,-1433.45169397892
3,24,-1467.09633650354,-1443.07086623294
3,25,-1485.37071661726,-1449.33251121136
3,26,-1485.03662182678,-1448.99841642087
3,27,-1481.87400073481,-1433.8230601936
3,28,-1483.85940210169,-1447.82119669579
3,29,-1482.28952580995,-1434.23858526875
3,30,-1481.88011939726,-1433.82917885606
3,31,-1479.93287013518,-1419.86919445868
4,1,-1359.66994980949,-1347.65721467419
4,2,-595.43276673538,-583.42003160008
4,3,-1360.140133657,-1336.1146633864
4,4,-1354.89697757076,-1342.88424243546
4,5,-1361.11554890043,-1337.09007862983
4,6,-1362.03296060075,-1338.00749033015
4,7,-1359.22688656584,-1323.18868115994
4,8,-1303.42423596522,-1291.41150082992
4,9,-1361.82413087668,-1337.79866060608
4,10,-1346.36102754903,-1322.33555727843
4,11,-1359.1511223304,-1323.1129169245
4,12,-1358.67445741772,-1334.64898714712
4,13,-1359.03902191341,-1323.00081650751
4,14,-1359.13187419823,-1323.09366879232
4,15,-1355.12347180722,-1307.07253126602
4,16,-1129.85144199923,-1117.83870686393
4,17,-1362.58680536978,-1338.56133509918
4,18,-1197.67853043687,-1173.65306016627
4,19,-1359.06263725222,-1323.02443184632
4,20,-1355.30430912895,-1331.27883885834
4,21,-1358.97075009584,-1322.93254468993
4,22,-1359.05112181082,-1323.01291640491
4,23,-1355.3055460411,-1307.2546054999
4,24,-1325.30495742009,-1301.27948714949
4,25,-1358.9039918675,-1322.8657864616
4,26,-1356.82302066982,-1320.78481526392
4,27,-1355.22859780428,-1307.17765726308
4,28,-1358.5387361655,-1322.5005307596
4,29,-1355.15028677438,-1307.09934623318
4,30,-1355.28588670642,-1307.23494616522
4,31,-1352.44667539924,-1292.38299972273
5,1,-1395.849137593,-1383.8364024577
5,2,-633.533614437716,-621.520879302415
5,3,-1405.24124918419,-1381.21577891359
5,4,-1399.77192011678,-1387.75918498148
5,5,-1404.93706468484,-1380.91159441424
5,6,-1404.16769074011,-1380.14222046951
5,7,-1401.26846201866,-1365.23025661276
