"Run","subFuncID","AIC","BIC"
3,5,-728.519479303468,-704.494009032867
3,6,-233.159335185203,-209.133864914602
3,7,-739.214025324633,-703.175819918732
3,8,-267.689054359785,-255.676319224484
3,9,-680.556478091476,-656.531007820875
3,10,-293.156319922849,-269.130849652248
3,11,-739.459843414783,-703.421638008882
3,12,-580.330852489402,-556.305382218801
3,13,-731.238827671947,-695.200622266045
3,14,-734.447884233849,-698.409678827947
3,15,-735.554574464659,-687.503633923457
3,16,-325.191706008704,-313.178970873404
3,17,-561.919106557424,-537.893636286823
3,18,-348.462506966381,-324.43703669578
3,19,-740.313797533336,-704.275592127434
3,20,-439.984730387464,-415.959260116863
3,21,-724.96492922204,-688.926723816139
3,22,-705.509028512593,-669.470823106692
3,23,-736.433103431492,-688.38216289029
3,24,-372.517431718726,-348.491961448125
3,25,-679.38393777784,-643.345732371939
3,26,-395.652799782181,-359.614594376279
3,27,-736.748750314503,-688.697809773302
3,28,-581.634607026572,-545.59640162067
3,29,-738.341895088874,-690.290954547672
3,30,-731.012300562512,-682.96136002131
3,31,-737.198705270918,-677.135029594416
4,1,-11.2762382880811,0.736496847219394
4,2,-254.514193268324,-242.501458133023
4,3,-799.003251935533,-774.977781664932
4,4,-202.913041484986,-190.900306349685
4,5,-777.868073399991,-753.84260312939
4,6,-271.478430779898,-247.452960509297
4,7,-797.766972415944,-761.728767010042
4,8,-321.346142839824,-309.333407704524
4,9,-724.324587946473,-700.299117675872
4,10,-340.102278998389,-316.076808727788
4,11,-797.456539706999,-761.418334301097
4,12,-620.345321331735,-596.319851061135
4,13,-779.804545667219,-743.766340261318
4,14,-796.21130061081,-760.173095204908
4,15,-795.055262045738,-747.004321504536
4,16,-377.501413885736,-365.488678750436
4,17,-602.836234490866,-578.810764220265
4,18,-392.16878321656,-368.143312945959
4,19,-797.428679296051,-761.390473890149
4,20,-479.959688306464,-455.934218035863
4,21,-774.035462995347,-737.997257589446
4,22,-772.946647096646,-736.908441690745
4,23,-795.769922069793,-747.718981528591
4,24,-413.080921596543,-389.055451325942
4,25,-721.640347696274,-685.602142290372
4,26,-438.401639391956,-402.363433986055
4,27,-795.996152904742,-747.94521236354
4,28,-618.799407808792,-582.76120240289
4,29,-796.99701619565,-748.946075654448
4,30,-792.366577258241,-744.315636717039
4,31,-793.89237945039,-733.828703773888
5,1,-12.685411555165,-0.672676419864544
5,2,-236.970939871783,-224.958204736483
5,3,-777.873593518512,-753.848123247911
5,4,-198.417047697805,-186.404312562505
5,5,-771.765375031682,-747.739904761081
5,6,-250.626841690673,-226.601371420072
5,7,-777.002157519466,-740.963952113564
5,8,-323.832002070011,-311.819266934711
