"Run","subFuncID","AIC","BIC"
1,1,-4.24502712735385,7.76770800794664
1,2,-85.0849312179894,-73.0721960826889
1,3,-108.424791887791,-84.3993216171899
1,4,-36.3460338077201,-24.3332986724196
1,5,-207.903673264121,-183.87820299352
1,6,-124.162081944539,-100.136611673938
1,7,-383.023830446536,-346.985625040635
1,8,-7.43348598862997,4.57924914667052
1,9,-9.59562074837564,14.4298495222253
1,10,-97.0260994160396,-73.0006291454386
1,11,-145.919280872884,-109.881075466982
1,12,-56.2776187557099,-32.252148485109
1,13,-370.288082413036,-334.249877007135
1,14,-212.683826745269,-176.645621339367
1,15,-643.465529724504,-595.414589183302
1,16,-223.794752586375,-211.782017451074
1,17,-388.562366900704,-364.536896630103
1,18,-251.401060223853,-227.375589953252
1,19,-463.597179788886,-427.558974382985
1,20,-447.36563249718,-423.340162226579
1,21,-473.384280082228,-437.346074676327
1,22,-470.491723344542,-434.453517938641
1,23,-471.308804696778,-423.257864155576
1,24,-745.711729040229,-721.686258769628
1,25,-742.235846799083,-706.197641393181
1,26,-745.506151199699,-709.467945793797
1,27,-746.386743255792,-698.33580271459
1,28,-742.36550593497,-706.327300529069
1,29,-746.740394974794,-698.689454433592
1,30,-746.800479150867,-698.749538609665
1,31,-742.942751818217,-682.879076141714
2,1,-1.07998251079481,10.9327526245057
2,2,-83.7448809973792,-71.7321458620787
2,3,-103.732847566151,-79.7073772955497
2,4,-26.6417515038497,-14.6290163685492
2,5,-204.77485278501,-180.749382514409
2,6,-118.023282389477,-93.9978121188759
2,7,-329.845611395295,-293.807405989394
2,8,-4.51209347030884,7.50064166499165
2,9,-8.11389319319137,15.9115770774096
2,10,-85.3546337775456,-61.3291635069446
2,11,-130.643494996358,-94.6052895904563
2,12,-41.5378793163659,-17.5124090457649
2,13,-346.235595468421,-310.197390062519
2,14,-193.081601979665,-157.043396573763
2,15,-549.870518031921,-501.819577490719
2,16,-206.241362534963,-194.228627399663
2,17,-381.676030984571,-357.65056071397
2,18,-238.455044475157,-214.429574204556
2,19,-435.300701943588,-399.262496537686
2,20,-439.745521997947,-415.720051727346
2,21,-453.538220404517,-417.500014998616
2,22,-448.513203839078,-412.474998433176
2,23,-456.740173260644,-408.689232719442
2,24,-706.353843348938,-682.328373078337
2,25,-702.446780800415,-666.408575394513
2,26,-702.480147446834,-666.441942040932
2,27,-698.481227775132,-650.43028723393
2,28,-702.441683451417,-666.403478045515
2,29,-699.22819436266,-651.177253821458
2,30,-698.715101138403,-650.664160597202
2,31,-697.489819876241,-637.426144199738
3,1,-4.29642954308834,7.71630559221215
3,2,-81.8485231505373,-69.8357880152368
3,3,-103.633162480797,-79.6076922101963
3,4,-26.6156981929348,-14.6029630576343
3,5,-202.955035975526,-178.929565704925
3,6,-116.086260808262,-92.0607905376608
3,7,-337.502104698568,-301.463899292666
3,8,-1.80234553547489,10.2103895998256
3,9,-3.76910643096089,20.2563638396401
3,10,-87.0150169825537,-62.9895467119528
3,11,-145.006001518932,-108.96779611303
3,12,-53.1890751306667,-29.1636048600657
3,13,-360.21846165077,-324.180256244868
3,14,-207.088892382566,-171.050686976665
3,15,-575.01286042858,-526.961919887378
3,16,-200.398922013642,-188.386186878341
3,17,-387.052982773098,-363.027512502497
3,18,-232.320962042466,-208.295491771865
3,19,-446.992299932659,-410.954094526757
3,20,-448.499900139585,-424.474429868984
3,21,-466.348581465265,-430.310376059364
3,22,-460.570243075896,-424.532037669994
3,23,-470.49500776267,-422.444067221468
3,24,-741.086786486818,-717.061316216217
3,25,-737.193877251653,-701.155671845752
3,26,-737.462985165684,-701.424779759782
3,27,-733.679991045353,-685.629050504151
3,28,-737.233379909869,-701.195174503968
3,29,-734.989575048003,-686.938634506801
3,30,-734.206673636539,-686.155733095337
3,31,-733.227687086549,-673.164011410046
4,1,-2.20594593199995,9.80678920330054
4,2,-140.585304020485,-128.572568885184
4,3,-167.15326935793,-143.127799087329
4,4,-47.5182272499585,-35.505492114658
4,5,-264.089470616319,-240.064000345718
4,6,-179.773812641171,-155.74834237057
4,7,-349.320281337746,-313.282075931844
4,8,-11.2762382880811,0.736496847219401
4,9,-14.7781924626632,9.24727780793777
4,10,-140.419434435254,-116.393964164653
4,11,-228.142829074675,-192.104623668773
4,12,-68.307553003789,-44.282082733188
4,13,-460.085443020798,-424.047237614897
4,14,-297.397506782227,-261.359301376326
4,15,-612.625493237463,-564.574552696261
4,16,-254.514193268324,-242.501458133023
4,17,-437.823744684703,-413.798274414102
4,18,-300.18304973041,-276.157579459809
4,19,-471.721306790942,-435.683101385041
4,20,-487.004701300561,-462.97923102996
4,21,-493.481188195276,-457.442982789374
4,22,-488.533216827102,-452.4950114212
4,23,-509.160406735471,-461.109466194269
4,24,-799.003251935534,-774.977781664933
4,25,-795.110963269752,-759.072757863851
4,26,-796.010377238249,-759.972171832348
4,27,-797.22230509867,-749.171364557468
4,28,-796.493036949336,-760.454831543434
4,29,-795.8539156205,-747.802975079298
4,30,-796.687507306489,-748.636566765288
4,31,-796.529026291427,-736.465350614924
5,1,0.814960538806134,12.8276956741066
5,2,-141.416965781882,-129.404230646582
5,3,-151.773708171914,-127.748237901313
5,4,-32.2399517249915,-20.227216589691
5,5,-259.072547985777,-235.047077715176
5,6,-161.859803651479,-137.834333380878
5,7,-398.21867761877,-362.180472212869
5,8,-12.6854115551651,-0.672676419864626
5,9,-24.0615422861191,-0.03607201551808
5,10,-138.283834318483,-114.258364047882
5,11,-181.969209285035,-145.931003879134
5,12,-38.268758127757,-14.243287857156
5,13,-401.502250016278,-365.464044610376
5,14,-236.474733258229,-200.436527852328
5,15,-615.662979125953,-567.612038584751
5,16,-236.970939871783,-224.958204736483
5,17,-448.411743814289,-424.386273543688
5,18,-278.313183785597,-254.287713514996
5,19,-508.86288795569,-472.824682549789
5,20,-509.019207735123,-484.993737464522
5,21,-526.971436593391,-490.933231187489
5,22,-521.677119055526,-485.638913649624
5,23,-530.652870365215,-482.601929824013
5,24,-777.873593518513,-753.848123247912
5,25,-775.882054156704,-739.843848750802
5,26,-775.714637017809,-739.676431611907
5,27,-771.980924235844,-723.929983694642
5,28,-775.429317800136,-739.391112394234
5,29,-772.311276942913,-724.260336401711
5,30,-772.223051962482,-724.17211142128
5,31,-769.929298091867,-709.865622415365
6,1,-0.675597313234479,11.337137822066
6,2,-137.093474191738,-125.080739056437
6,3,-162.445555994394,-138.420085723793
6,4,-43.7847967591079,-31.7720616238074
6,5,-266.189209492472,-242.163739221871
6,6,-175.968169062511,-151.94269879191
6,7,-408.956132071293,-372.917926665391
6,8,-12.2279100982038,-0.215174962903351
6,9,-15.0856126267229,8.9398576438781
6,10,-136.018487357383,-111.993017086782
6,11,-209.899637659581,-173.86143225368
6,12,-58.7864847181651,-34.7610144475641
6,13,-432.979293514392,-396.94108810849
6,14,-273.302302107797,-237.264096701896
6,15,-656.352335043465,-608.301394502263
6,16,-250.96541871364,-238.952683578339
6,17,-434.404703061246,-410.379232790645
6,18,-295.012585543165,-270.987115272564
6,19,-482.521763015356,-446.483557609455
6,20,-479.695346031067,-455.669875760466
6,21,-488.472866117829,-452.434660711928
6,22,-487.355578618764,-451.317373212863
6,23,-486.709576779428,-438.658636238226
